Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
LengthTaintStrategy,3307644023_164509_0_32,3307644023,0,0,765,NOT_FLIPPED,4.76837158203125e-05,9,18,164,35,0,765,1237,0,3259,1,Wrong statement
LengthTaintStrategy,3307621814_846712_0_255,3307621814,0,0,266,NOT_FLIPPED,3.075599670410156e-05,9,18,164,1,10,266,739,0,2206,1,Wrong statement
LengthTaintStrategy,3307644023_918020_1_32,3307644023,0,0,765,NOT_FLIPPED,4.0531158447265625e-05,9,18,164,35,0,765,1237,0,3262,1,Wrong statement
LengthTaintStrategy,1633489658_833007_0_32,1633489658,0,0,84,NOT_FLIPPED,5.269050598144531e-05,8,122,792,46,0,84,98,0,496,1,Wrong statement
LengthTaintStrategy,3307621814_408996_0_255,3307621814,0,0,107,NOT_FLIPPED,8.0108642578125e-05,9,18,164,1,10,107,739,0,740,1,Wrong statement
LengthTaintStrategy,3307644023_272287_1_32,3307644023,0,0,497,NOT_FLIPPED,4.935264587402344e-05,15,18,164,35,0,497,982,0,5700,1,Wrong statement
LengthTaintStrategy,3307621814_875807_0_255,3307621814,0,0,902,NOT_FLIPPED,0.00010466575622558594,11,18,164,1,10,902,1391,0,4529,1,Wrong statement
LengthTaintStrategy,3307621814_852012_2_255,3307621814,0,0,80,NOT_FLIPPED,4.410743713378906e-05,9,18,164,1,10,80,96,0,476,1,Wrong statement
LengthTaintStrategy,3307621814_117293_0_255,3307621814,0,0,159,NOT_FLIPPED,4.00543212890625e-05,9,18,164,1,10,159,313,0,1260,1,Wrong statement
LengthTaintStrategy,1844666732_645526_1_40,1844666732,0,0,690,NOT_FLIPPED,7.152557373046875e-05,7,32,323,5,0,690,745,0,2650,1,Wrong statement
LengthTaintStrategy,1633489658_962516_1_32,1633489658,0,0,373,NOT_FLIPPED,2.7894973754882812e-05,12,122,792,46,0,373,897,0,4200,1,Wrong statement
LengthTaintStrategy,2178377942_129207_0_32,2178377942,0,0,205,NOT_FLIPPED,4.506111145019531e-05,1,86,322,2,0,205,214,0,31,1,Wrong statement
LengthTaintStrategy,3307644023_799749_0_32,3307644023,0,0,376,NOT_FLIPPED,5.2928924560546875e-05,15,18,164,35,0,376,900,0,4258,1,Wrong statement
LengthTaintStrategy,1239199518_45251_1_38,1239199518,0,0,372,NOT_FLIPPED,4.00543212890625e-05,18,32,323,22,0,372,1001,0,4078,1,Wrong statement
