Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,3229184935_521190_1_32771,3229184935,0,0,137,NOT_FLIPPED,4.410743713378906e-05,0,3,36,9,0,137,168,0,0,1
MagicByteStrategy,1903821429_930920_1_32771,1903821429,0,0,128,NOT_FLIPPED,7.843971252441406e-05,0,37,512,11,0,128,136,0,0,1
MagicByteStrategy,1903850337_930920_0_40,1903850337,0,2,141,FLIPPED_CONDITION,0.04706692695617676,1,37,512,3,0,141,143,1,1,1
MagicByteStrategy,1289560608_582185_1_32,1289560608,0,0,128,NOT_FLIPPED,3.528594970703125e-05,0,-,-,-,-,128,134,0,0,1
MagicByteStrategy,1903842450_582185_0_34,1903842450,0,5,162,FLIPPED_CONDITION,0.022434234619140625,13,246,2690,26,0,162,219,1,16,1
MagicByteStrategy,1903848753_539393_0_288,1903848753,0,7,181,FLIPPED_CONDITION,0.04685711860656738,2,12,153,19,0,181,184,1,40,1
MagicByteStrategy,1903834101_441853_0_288,1903834101,1,14,138,NOT_FLIPPED,0.13167929649353027,2,37,512,21,0,138,139,0,2,1
MagicByteStrategy,1903834101_441853_1_288,1903834101,0,1,138,FLIPPED_CONDITION,0.02594780921936035,2,37,512,21,0,138,173,1,2,1
MagicByteStrategy,1903845618_245655_0_32,1903845618,0,0,123,NOT_FLIPPED,4.553794860839844e-05,0,6,78,5,0,123,182,0,0,1
MagicByteStrategy,1903824597_1037775_1_32771,1903824597,0,0,155,NOT_FLIPPED,5.793571472167969e-05,0,37,512,39,0,155,239,0,0,1
MagicByteStrategy,3071765735_726465_0_32,3071765735,0,0,125,NOT_FLIPPED,5.888938903808594e-05,0,-,-,-,-,125,204,0,0,1
MagicByteStrategy,1903831461_582185_1_32,1903831461,0,0,141,NOT_FLIPPED,2.2411346435546875e-05,0,246,2690,32,0,141,150,0,0,1
MagicByteStrategy,1903826874_582185_0_32771,1903826874,0,0,124,NOT_FLIPPED,6.127357482910156e-05,0,246,2690,5,0,124,133,0,0,1
