Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
RandomStrategy,98909640_832806_1_32,98909640,6141,9323,484,FLIPPED_CONDITION,5.2854818344116214,0,4,32,4,0,484,490,1,0,5
RandomStrategy,98928384_423214_1_32,98928384,17,25,546,FLIPPED_CONDITION,0.014805412292480469,0,4,32,4,0,546,548,1,0,5
RandomStrategy,98909640_153098_0_32,98909640,37,8128,233,MAXIMUM_EXECUTION_TIME_REACHED,15.000752544403076,0,4,32,4,0,233,247,0,0,5
RandomStrategy,296742187_193050_0_40,296742187,548,868,243,MAXIMUM_EXECUTION_TIME_REACHED,15.010477924346924,1,-,-,-,-,243,255,0,21,5
RandomStrategy,98913930_131172_1_33,98913930,152,468,211,MAXIMUM_EXECUTION_TIME_REACHED,15.039490795135498,1,54,420,5,0,211,234,0,36,5
RandomStrategy,98927229_944619_0_32,98927229,507,773,208,MAXIMUM_EXECUTION_TIME_REACHED,15.011664867401123,1,4,32,3,0,208,247,0,1,5
RandomStrategy,296726248_131172_1_288,296726248,0,2203,8,MAXIMUM_EXECUTION_TIME_REACHED,15.001843309402465,1,54,420,2,0,8,14,0,2,5
RandomStrategy,890406544_169184_1_288,890406544,1650,2490,229,FLIPPED_CONDITION,8.865094518661499,2,31,339,3,0,229,243,1,6,5
RandomStrategy,98909640_51651_0_32,98909640,6,2345,25,MAXIMUM_EXECUTION_TIME_REACHED,15.002274560928345,0,4,32,4,0,25,121,0,0,5
RandomStrategy,98951880_74179_1_38,98951880,747,1142,228,FLIPPED_CONDITION,1.618814182281494,1,22,149,4,0,228,237,1,2,5
RandomStrategy,98916702_131172_0_32,98916702,346,1529,135,MAXIMUM_EXECUTION_TIME_REACHED,15.00590124130249,1,54,420,2,0,135,238,0,2,5
RandomStrategy,98954355_131172_1_38,98954355,465,2075,134,MAXIMUM_EXECUTION_TIME_REACHED,15.00278968811035,1,54,420,2,0,134,256,0,2,5
RandomStrategy,98928384_93985_0_32,98928384,329,1548,132,MAXIMUM_EXECUTION_TIME_REACHED,15.006068134307862,0,4,32,4,0,132,238,0,0,5
RandomStrategy,296858413_131172_1_38,296858413,615,2928,149,MAXIMUM_EXECUTION_TIME_REACHED,15.000517559051513,1,54,420,2,0,149,225,0,2,5
RandomStrategy,98914623_211100_1_288,98914623,10,1489,173,FLIPPED_CONDITION,13.446062803268433,1,22,149,7,0,173,180,1,144,5
RandomStrategy,98909640_1000659_0_32,98909640,7,2684,19,MAXIMUM_EXECUTION_TIME_REACHED,15.00241928100586,0,4,32,4,0,19,126,0,0,5
RandomStrategy,296745652_211100_1_40,296745652,0,538,54,MAXIMUM_EXECUTION_TIME_REACHED,15.056169319152833,1,-,-,-,-,54,180,0,25,5
RandomStrategy,98928384_93985_0_32771,98928384,339,1506,133,MAXIMUM_EXECUTION_TIME_REACHED,15.007106590270997,0,4,32,4,0,133,238,0,0,5
RandomStrategy,98928384_423214_1_32771,98928384,1,3,547,FLIPPED_CONDITION,0.014280939102172851,0,4,32,4,0,547,548,1,0,5
RandomStrategy,98912808_790838_1_288,98912808,495,495,199,MAXIMUM_EXECUTION_TIME_REACHED,15.046101284027099,1,10,85,12,0,199,371,0,16,5
RandomStrategy,98960031_131172_1_38,98960031,318,1494,142,MAXIMUM_EXECUTION_TIME_REACHED,15.00133547782898,1,54,420,2,0,142,238,0,2,5
RandomStrategy,98950857_74179_1_294,98950857,2,957,24,MAXIMUM_EXECUTION_TIME_REACHED,15.011824369430542,1,22,149,3,0,24,40,0,1,5
RandomStrategy,98907957_131172_1_32,98907957,27,210,161,FLIPPED_CONDITION,0.06442561149597167,1,54,420,4,0,161,171,1,1,5
RandomStrategy,98912808_11991_1_288,98912808,1808,2804,178,MAXIMUM_EXECUTION_TIME_REACHED,15.003878927230835,1,10,85,12,0,178,191,0,7,5
RandomStrategy,98930034_211100_1_40,98930034,2,541,56,MAXIMUM_EXECUTION_TIME_REACHED,15.051498508453369,1,22,149,2,0,56,180,0,27,5
RandomStrategy,98946039_60229_1_32,98946039,54,85,215,FLIPPED_CONDITION,0.11353526115417481,1,10,85,2,0,215,219,1,2,5
RandomStrategy,98927229_832806_1_32,98927229,401,638,191,FLIPPED_CONDITION,0.7529314994812012,1,4,32,3,0,191,196,1,1,5
RandomStrategy,98947227_151922_0_40,98947227,7850,7850,250,MAXIMUM_EXECUTION_TIME_REACHED,15.000732517242431,1,31,339,6,0,250,257,0,37,5
RandomStrategy,2670775915_151922_0_32771,2670775915,178,492,213,MAXIMUM_EXECUTION_TIME_REACHED,15.048719835281371,0,-,-,-,-,213,234,0,0,5
RandomStrategy,98909640_168856_1_32,98909640,620,918,446,FLIPPED_CONDITION,0.4943882465362549,0,4,32,4,0,446,449,1,0,5
RandomStrategy,98928384_832806_1_32771,98928384,6139,9553,238,MAXIMUM_EXECUTION_TIME_REACHED,15.000685930252075,0,4,32,4,0,238,243,0,0,5
RandomStrategy,98928384_438460_1_32,98928384,5832,9066,257,MAXIMUM_EXECUTION_TIME_REACHED,15.000557136535644,0,4,32,4,0,257,260,0,0,5
RandomStrategy,98921784_145288_1_40,98921784,1,547,37,MAXIMUM_EXECUTION_TIME_REACHED,15.03615050315857,1,10,85,1,0,37,180,0,8,5
RandomStrategy,98909640_585264_0_32771,98909640,340,1515,138,MAXIMUM_EXECUTION_TIME_REACHED,15.006157159805298,0,4,32,4,0,138,238,0,0,5
RandomStrategy,296742187_145288_1_40,296742187,2,555,39,MAXIMUM_EXECUTION_TIME_REACHED,15.045387077331544,1,-,-,-,-,39,180,0,10,5
RandomStrategy,98909640_438460_0_32,98909640,5994,9136,254,MAXIMUM_EXECUTION_TIME_REACHED,15.000840377807616,0,4,32,4,0,254,260,0,0,5
RandomStrategy,98927229_168574_1_32,98927229,5492,8463,225,FLIPPED_CONDITION,4.8125756740570065,1,4,32,3,0,225,234,1,1,5
RandomStrategy,98928384_961657_1_32,98928384,11333,17427,236,MAXIMUM_EXECUTION_TIME_REACHED,15.0005633354187,0,4,32,4,0,236,239,0,0,5
RandomStrategy,98898849_131172_1_32,98898849,0,778,13,FLIPPED_CONDITION,6.962110805511474,1,54,420,3,0,13,39,1,3,5
RandomStrategy,296755948_261390_0_40,296755948,18802,29178,312,FLIPPED_CONDITION,8.150169372558594,1,22,149,13,0,312,326,1,157,5
