Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
RandomStrategy,3307700816_833007_1_34,3307700816,84,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05631446838378906,2,122,792,77,0
RandomStrategy,3307621814_632775_0_511,3307621814,85,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04948091506958008,7,18,164,1,10
RandomStrategy,3307621814_422722_2_255,3307621814,74,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05269122123718262,3,18,164,1,10
RandomStrategy,3307639139_509569_0_288,3307639139,999,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04790973663330078,1,122,792,16,0
RandomStrategy,3307621814_520870_2_255,3307621814,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05098414421081543,13,18,164,1,10
RandomStrategy,3307621814_649868_0_511,3307621814,63,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05100297927856445,7,18,164,1,10
RandomStrategy,3307621814_586862_0_255,3307621814,70,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.049102067947387695,7,18,164,1,10
RandomStrategy,3307637588_509569_1_32,3307637588,18,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047846317291259766,3,122,792,11,0
RandomStrategy,1333082519_509569_1_32,1333082519,62,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.048243045806884766,2,122,792,46,0
RandomStrategy,3307645574_384186_0_34,3307645574,83,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04785513877868652,5,122,792,17,0
RandomStrategy,4243273349_557481_1_32,4243273349,2,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04602956771850586,1,49,288,11,0
RandomStrategy,3307644023_361005_1_288,3307644023,68,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.046045780181884766,15,18,164,35,0
RandomStrategy,3307621814_313339_0_255,3307621814,68,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04710698127746582,7,18,164,1,10
RandomStrategy,3307700816_384186_0_34,3307700816,49,822,0,FLIPPED_CONDITION,0.043477773666381836,2,122,792,77,0
RandomStrategy,4243244969_557481_0_32,4243244969,1,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05025768280029297,1,49,288,11,0
RandomStrategy,3307644023_979267_1_288,3307644023,81,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.051494598388671875,18,18,164,35,0
RandomStrategy,1631463524_962516_0_288,1631463524,72,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04357337951660156,1,-,-,-,-
RandomStrategy,4139893673_950436_0_32,4139893673,28,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.05093240737915039,1,4,27,6,0
RandomStrategy,3307691543_129207_0_32,3307691543,23,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.050574541091918945,1,86,322,2,0
RandomStrategy,3307621814_108933_2_255,3307621814,74,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04852485656738281,3,18,164,1,10
RandomStrategy,1844666732_770989_1_40,1844666732,67,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047270774841308594,11,32,323,5,0
RandomStrategy,3307621814_716373_0_255,3307621814,75,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04708719253540039,3,18,164,1,10
RandomStrategy,3307644023_632775_1_32,3307644023,83,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04677557945251465,11,18,164,35,0
RandomStrategy,3478208625_174840_1_34,3478208625,50,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0498199462890625,7,32,323,10,0
RandomStrategy,3478209417_45251_0_34,3478209417,76,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04777264595031738,2,32,323,10,0
RandomStrategy,3307644023_387229_1_32,3307644023,64,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.047265052795410156,11,18,164,35,0
RandomStrategy,3307621814_405105_0_255,3307621814,91,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.04787325859069824,14,18,164,1,10
RandomStrategy,3307644023_322812_0_32,3307644023,69,1000,0,MAXIMUM_NUMBER_OF_INPUTS_REACHED,0.0482637882232666,5,18,164,35,0
